Time,Channel A
(s),(V)

-0.24130007,1.88985900
-0.24128007,1.84484400
-0.24126007,1.88985900
-0.24124007,1.84484400
-0.24122007,1.84484400
-0.24120007,1.88985900
-0.24118007,1.93487300
-0.24116007,1.84484400
-0.24114007,1.93487300
-0.24112007,1.88985900
-0.24110007,1.93487300
-0.24108007,1.88985900
-0.24106007,1.93487300
-0.24104007,1.88985900
-0.24102007,1.88985900
-0.24100007,1.84484400
-0.24098007,1.88985900
-0.24096007,1.88985900
-0.24094007,1.84484400
-0.24092007,1.88985900
-0.24090007,1.93487300
-0.24088007,1.93487300
-0.24086007,1.88985900
-0.24084007,1.88985900
-0.24082007,1.88985900
-0.24080007,1.88985900
-0.24078007,1.88985900
-0.24076007,1.93487300
-0.24074007,1.84484400
-0.24072007,1.88985900
-0.24070007,1.88985900
-0.24068007,1.93487300
-0.24066007,1.88985900
-0.24064007,1.88985900
-0.24062007,1.88985900
-0.24060007,1.93487300
-0.24058007,1.84484400
-0.24056007,1.93487300
-0.24054007,1.93487300
-0.24052007,1.93487300
-0.24050007,1.88985900
-0.24048007,1.93487300
-0.24046007,1.93487300
-0.24044007,1.88985900
-0.24042007,1.88985900
-0.24040007,1.93487300
-0.24038007,1.93487300
-0.24036007,1.93487300
-0.24034007,1.93487300
-0.24032007,1.93487300
-0.24030007,1.88985900
-0.24028007,1.88985900
-0.24026007,1.88985900
-0.24024007,1.93487300
-0.24022007,1.88985900
-0.24020007,1.88985900
-0.24018007,1.88985900
-0.24016007,1.84484400
-0.24014007,1.88985900
-0.24012007,1.93487300
-0.24010007,1.88985900
-0.24008007,1.88985900
-0.24006007,1.88985900
-0.24004007,1.84484400
-0.24002007,1.93487300
-0.24000007,1.84484400
-0.23998007,1.88985900
-0.23996007,1.84484400
-0.23994007,1.93487300
-0.23992007,1.88985900
-0.23990007,1.93487300
-0.23988007,1.88985900
-0.23986007,1.93487300
-0.23984007,1.88985900
-0.23982007,1.93487300
-0.23980007,1.93487300
-0.23978007,1.88985900
-0.23976007,1.93487300
-0.23974007,1.93487300
-0.23972007,1.93487300
-0.23970007,1.93487300
-0.23968007,1.88985900
-0.23966007,1.93487300
-0.23964007,1.93487300
-0.23962007,1.88985900
-0.23960007,1.84484400
-0.23958007,1.84484400
-0.23956007,1.88985900
-0.23954007,1.93487300
-0.23952007,1.88985900
-0.23950007,1.88985900
-0.23948007,1.93487300
-0.23946007,1.84484400
-0.23944007,1.84484400
-0.23942007,1.84484400
-0.23940007,1.88985900
-0.23938007,1.88985900
-0.23936007,1.93487300
-0.23934007,1.88985900
-0.23932007,1.88985900
-0.23930007,1.88985900
-0.23928007,1.93487300
-0.23926007,1.93487300
-0.23924007,1.93487300
-0.23922007,1.93487300
-0.23920007,1.93487300
-0.23918007,1.88985900
-0.23916007,1.93487300
-0.23914007,1.93487300
-0.23912007,1.93487300
-0.23910007,1.88985900
-0.23908007,1.84484400
-0.23906007,1.88985900
-0.23904007,1.88985900
-0.23902007,1.88985900
-0.23900007,1.88985900
-0.23898007,1.93487300
-0.23896007,1.88985900
-0.23894007,1.88985900
-0.23892007,1.93487300
-0.23890007,1.93487300
-0.23888007,1.93487300
-0.23886007,1.93487300
-0.23884007,1.93487300
-0.23882007,1.97988800
-0.23880007,1.93487300
-0.23878007,1.93487300
-0.23876007,1.88985900
-0.23874007,1.93487300
-0.23872007,1.88985900
-0.23870007,1.88985900
-0.23868007,1.84484400
-0.23866007,1.88985900
-0.23864007,1.93487300
-0.23862007,1.93487300
-0.23860007,1.93487300
-0.23858007,1.84484400
-0.23856007,1.84484400
-0.23854007,1.84484400
-0.23852007,1.84484400
-0.23850007,1.84484400
-0.23848007,1.84484400
-0.23846007,1.84484400
-0.23844007,1.84484400
-0.23842007,1.84484400
-0.23840007,1.88985900
-0.23838007,1.88985900
-0.23836007,1.93487300
-0.23834007,1.84484400
-0.23832007,1.93487300
-0.23830007,1.93487300
-0.23828007,1.93487300
-0.23826007,1.93487300
-0.23824007,1.97988800
-0.23822007,1.93487300
-0.23820007,1.97988800
-0.23818007,1.93487300
-0.23816007,1.93487300
-0.23814007,1.93487300
