Time,Channel A,Channel B
(s),(V),(V)

-1.75119988,0.46427810,0.21503340
-1.75109988,0.46427810,0.22400590
-1.75099988,0.46427810,0.21503340
-1.75089988,0.46427810,0.21503340
-1.75079988,0.46427810,0.21503340
-1.75069988,0.46427810,0.21503340
-1.75059988,0.46427810,0.22400590
-1.75049988,0.46427810,0.22400590
-1.75039988,0.46427810,0.21503340
-1.75029988,0.46427810,0.22400590
-1.75019988,0.46427810,0.21503340
-1.75009988,0.46427810,0.21503340
-1.74999988,0.46427810,0.21503340
-1.74989988,0.46427810,0.21503340
-1.74979988,0.46427810,0.22400590
-1.74969988,0.46427810,0.21503340
-1.74959988,0.46427810,0.20603050
-1.74949988,0.46427810,0.21503340
-1.74939988,0.46427810,0.20603050
-1.74929988,0.46427810,0.21503340
-1.74919988,0.45518360,0.20603050
-1.74909988,0.45518360,0.20603050
-1.74899988,0.46427810,0.21503340
-1.74889988,0.46427810,0.21503340
-1.74879988,0.46427810,0.21503340
-1.74869988,0.46427810,0.20603050
-1.74859988,0.46427810,0.20603050
-1.74849988,0.46427810,0.20603050
-1.74839988,0.45518360,0.20603050
-1.74829988,0.45518360,0.20603050
-1.74819988,0.46427810,0.21503340
-1.74809988,0.46427810,0.21503340
-1.74799988,0.46427810,0.21503340
-1.74789988,0.46427810,0.21503340
-1.74779988,0.45518360,0.21503340
-1.74769988,0.46427810,0.21503340
-1.74759988,0.45518360,0.20603050
-1.74749988,0.45518360,0.20603050
-1.74739988,0.46427810,0.20603050
-1.74729988,0.46427810,0.20603050
-1.74719988,0.46427810,0.21503340
-1.74709988,0.46427810,0.20603050
-1.74699988,0.46427810,0.20603050
-1.74689988,0.46427810,0.20603050
-1.74679988,0.45518360,0.20603050
-1.74669988,0.46427810,0.20603050
-1.74659988,0.46427810,0.20603050
-1.74649988,0.45518360,0.20603050
-1.74639988,0.46427810,0.20603050
-1.74629988,0.46427810,0.20603050
-1.74619988,0.46427810,0.20603050
-1.74609988,0.45518360,0.20603050
-1.74599988,0.46427810,0.20603050
-1.74589988,0.46427810,0.20603050
-1.74579988,0.46427810,0.20603050
-1.74569988,0.46427810,0.20603050
-1.74559988,0.46427810,0.20603050
-1.74549988,0.46427810,0.19705800
-1.74539988,0.45518360,0.20603050
-1.74529988,0.45518360,0.20603050
-1.74519988,0.46427810,0.20603050
-1.74509988,0.46427810,0.20603050
-1.74499988,0.46427810,0.20603050
-1.74489988,0.46427810,0.20603050
-1.74479988,0.46427810,0.19705800
-1.74469988,0.45518360,0.20603050
-1.74459988,0.45518360,0.20603050
-1.74449988,0.46427810,0.20603050
-1.74439988,0.45518360,0.20603050
-1.74429988,0.46427810,0.20603050
-1.74419988,0.45518360,0.19705800
-1.74409988,0.45518360,0.20603050
-1.74399988,0.46427810,0.20603050
-1.74389988,0.46427810,0.20603050
-1.74379988,0.45518360,0.19705800
-1.74369988,0.45518360,0.18808560
-1.74359988,0.46427810,0.19705800
-1.74349988,0.45518360,0.19705800
-1.74339988,0.46427810,0.19705800
-1.74329988,0.45518360,0.20603050
-1.74319988,0.45518360,0.18808560
-1.74309988,0.46427810,0.19705800
-1.74299988,0.46427810,0.19705800
-1.74289988,0.45518360,0.19705800
-1.74279988,0.45518360,0.18808560
-1.74269988,0.45518360,0.18808560
-1.74259988,0.45518360,0.18808560
-1.74249988,0.45518360,0.19705800
-1.74239988,0.45518360,0.18808560
-1.74229988,0.45518360,0.18808560
-1.74219988,0.45518360,0.18808560
-1.74209988,0.45518360,0.18808560
-1.74199988,0.45518360,0.18808560
-1.74189988,0.45518360,0.18808560
-1.74179988,0.45518360,0.18808560
-1.74169988,0.45518360,0.18808560
-1.74159988,0.45518360,0.18808560
-1.74149988,0.46427810,0.18808560
-1.74139988,0.45518360,0.18808560
-1.74129988,0.45518360,0.18808560
-1.74119988,0.45518360,0.18808560
-1.74109988,0.45518360,0.18808560
-1.74099988,0.46427810,0.18808560
-1.74089988,0.45518360,0.19705800
-1.74079988,0.45518360,0.18808560
-1.74069988,0.45518360,0.18808560
-1.74059988,0.45518360,0.18808560
-1.74049988,0.45518360,0.18808560
-1.74039988,0.45518360,0.18808560
-1.74029988,0.45518360,0.18808560
-1.74019988,0.46427810,0.18808560
-1.74009988,0.46427810,0.18808560
-1.73999988,0.45518360,0.18808560
-1.73989988,0.45518360,0.18808560
-1.73979988,0.45518360,0.18808560
-1.73969988,0.46427810,0.18808560
-1.73959988,0.46427810,0.18808560
-1.73949988,0.45518360,0.18808560
-1.73939988,0.45518360,0.18808560
-1.73929988,0.44608910,0.18808560
-1.73919988,0.45518360,0.18808560
-1.73909988,0.45518360,0.18808560
-1.73899988,0.45518360,0.17908260
-1.73889988,0.45518360,0.17908260
-1.73879988,0.46427810,0.18808560
-1.73869988,0.45518360,0.18808560
-1.73859988,0.45518360,0.18808560
-1.73849988,0.45518360,0.18808560
-1.73839988,0.45518360,0.18808560
-1.73829988,0.45518360,0.18808560
-1.73819988,0.46427810,0.18808560
-1.73809988,0.45518360,0.18808560
-1.73799988,0.45518360,0.18808560
-1.73789988,0.45518360,0.18808560
-1.73779988,0.45518360,0.18808560
-1.73769988,0.45518360,0.18808560
-1.73759988,0.45518360,0.18808560
-1.73749988,0.45518360,0.18808560
-1.73739988,0.45518360,0.17908260
-1.73729988,0.45518360,0.18808560
-1.73719988,0.45518360,0.18808560
-1.73709988,0.45518360,0.18808560
-1.73699988,0.45518360,0.18808560
-1.73689988,0.45518360,0.18808560
-1.73679988,0.45518360,0.18808560
-1.73669988,0.45518360,0.18808560
-1.73659988,0.45518360,0.18808560
-1.73649988,0.45518360,0.18808560
-1.73639988,0.45518360,0.18808560
-1.73629988,0.45518360,0.18808560
-1.73619988,0.45518360,0.18808560
-1.73609988,0.45518360,0.18808560
-1.73599988,0.45518360,0.18808560
-1.73589988,0.46427810,0.18808560
-1.73579988,0.46427810,0.18808560
-1.73569988,0.45518360,0.17908260
-1.73559988,0.44608910,0.17908260
-1.73549988,0.45518360,0.18808560
-1.73539988,0.45518360,0.17908260
-1.73529988,0.45518360,0.18808560
-1.73519988,0.45518360,0.18808560
-1.73509988,0.45518360,0.18808560
-1.73499988,0.45518360,0.18808560
-1.73489988,0.45518360,0.18808560
-1.73479988,0.45518360,0.17908260
-1.73469988,0.45518360,0.18808560
-1.73459988,0.45518360,0.18808560
-1.73449988,0.45518360,0.18808560
-1.73439988,0.45518360,0.18808560
-1.73429988,0.45518360,0.18808560
-1.73419988,0.45518360,0.18808560
-1.73409988,0.45518360,0.17908260
-1.73399988,0.45518360,0.18808560
-1.73389988,0.45518360,0.18808560
-1.73379988,0.45518360,0.18808560
-1.73369988,0.45518360,0.18808560
-1.73359988,0.45518360,0.17908260
-1.73349988,0.46427810,0.17908260
-1.73339988,0.45518360,0.18808560
-1.73329988,0.45518360,0.18808560
-1.73319988,0.45518360,0.17908260
-1.73309988,0.45518360,0.18808560
-1.73299988,0.45518360,0.18808560
-1.73289988,0.45518360,0.18808560
-1.73279988,0.45518360,0.18808560
-1.73269988,0.44608910,0.17908260
-1.73259988,0.45518360,0.18808560
-1.73249988,0.45518360,0.18808560
-1.73239988,0.45518360,0.18808560
-1.73229988,0.45518360,0.18808560
-1.73219988,0.45518360,0.18808560
-1.73209988,0.45518360,0.17908260
-1.73199988,0.45518360,0.18808560
-1.73189988,0.46427810,0.18808560
-1.73179988,0.45518360,0.18808560
-1.73169988,0.45518360,0.17908260
-1.73159988,0.45518360,0.18808560
-1.73149988,0.45518360,0.18808560
-1.73139988,0.45518360,0.18808560
-1.73129988,0.45518360,0.18808560
-1.73119988,0.45518360,0.18808560
-1.73109988,0.44608910,0.17908260
-1.73099988,0.45518360,0.18808560
-1.73089988,0.45518360,0.18808560
-1.73079988,0.46427810,0.17908260
-1.73069988,0.45518360,0.18808560
-1.73059988,0.45518360,0.18808560
-1.73049988,0.45518360,0.18808560
-1.73039988,0.45518360,0.17908260
-1.73029988,0.45518360,0.18808560
-1.73019988,0.45518360,0.18808560
-1.73009988,0.45518360,0.17908260
-1.72999988,0.45518360,0.17908260
-1.72989988,0.45518360,0.18808560
-1.72979988,0.45518360,0.17908260
-1.72969988,0.45518360,0.17908260
-1.72959988,0.45518360,0.17908260
-1.72949988,0.45518360,0.18808560
-1.72939988,0.45518360,0.17908260
-1.72929988,0.45518360,0.17011020
